Keyword,Definition,Category,filename
Suggestion Chips,"Small, pill-shaped buttons that offer quick response options (e.g., 'Yes', 'No'), usually disappearing after selection.",AI Chatbot & Automation,Suggestion-Chips.md
Task-Oriented Bot,"A chatbot designed to help users complete a specific task, such as booking a flight or tracking a package.",AI Chatbot & Automation,Task-Oriented-Bot.md
Team Collaboration / Workspace,Features allowing multiple users to edit or view flows within the same organization.,AI Chatbot & Automation,Team-Collaboration---Workspace.md
Text-to-Speech Node,A block that converts the AI's text response into an audio file to be played back to the user.,AI Chatbot & Automation,Text-to-Speech-Node.md
Typing Indicators,"Visual cues (e.g., three moving dots) shown to the user while the bot is processing a response.",AI Chatbot & Automation,Typing-Indicators.md
Utterance,The specific phrase or sentence entered by the user into a chatbot.,AI Chatbot & Automation,Utterance.md
Utterance Permutation,Generating multiple variations of a sentence to train the NLU model to recognize different ways of asking the same thing.,AI Chatbot & Automation,Utterance-Permutation.md
VAD (Voice Activity Detection),Technology used in voicebots to detect when a user starts and stops speaking to avoid interrupting them.,AI Chatbot & Automation,VAD--Voice-Activity-Detection-.md
Variable Injection,"Inserting dynamic data (e.g., user input) into prompts using a specific syntax like {{input}}.",AI Chatbot & Automation,Variable-Injection.md
Version History / Rollback,Saving specific states of the flow allowing users to revert to a previous version if changes break the bot.,AI Chatbot & Automation,Version-History---Rollback.md
Virtual Assistant,An AI agent that answers questions or performs tasks on behalf of the user.,AI Chatbot & Automation,Virtual-Assistant.md
Visual Flow Builder,A drag-and-drop interface where users connect nodes to create AI workflows without writing code.,AI Chatbot & Automation,Visual-Flow-Builder.md
Voicebot,A conversational agent that users interact with via spoken language rather than text.,AI Chatbot & Automation,Voicebot.md
Voiceflow,"A conversation design tool that allows teams to design, prototype, and launch voice and chat assistants.",AI Chatbot & Automation,Voiceflow.md
Wake Word,"A specific keyword used to activate a voice assistant (e.g., 'Hey Siri').",AI Chatbot & Automation,Wake-Word.md
Web Scraper Node,A specific block designed to fetch and extract text content from a given URL within the flow.,AI Chatbot & Automation,Web-Scraper-Node.md
Webhook Fulfillment,"The backend code that runs in response to an intent, fetching data from APIs to generate a dynamic response.",AI Chatbot & Automation,Webhook-Fulfillment.md
Webhook Trigger,A starting point of a flow that activates whenever it receives data from an external service.,AI Chatbot & Automation,Webhook-Trigger.md
Webview,A feature that opens a mini-browser inside the chat window to load complex forms or pages without leaving the app.,AI Chatbot & Automation,Webview.md
White Labeling,"The ability to remove the platform's branding (e.g., 'Powered by FlowHunt') from the final chatbot widget.",AI Chatbot & Automation,White-Labeling.md
Wizard of Oz Testing (WoZ),A testing method where a human manually simulates the chatbot's responses behind the scenes to test conversation flows.,AI Chatbot & Automation,Wizard-of-Oz-Testing--WoZ-.md
Zapier,"The leader in no-code automation, recently added 'Zapier Central' for AI-powered logic.",AI Chatbot & Automation,Zapier.md
Zero-Shot Chain of Thought,Prompting the AI to reason step-by-step ('Let's think step by step') without providing examples.,AI Chatbot & Automation,Zero-Shot-Chain-of-Thought.md
Zero-Touch Resolution,Issues resolved entirely by automation without any human agent involvement.,AI Chatbot & Automation,Zero-Touch-Resolution.md
n8n,"A workflow automation tool that connects your apps and services, with strong AI integration features.",AI Chatbot & Automation,n8n.md
Adversarial Attack,Inputs designed to cause an AI model to make a mistake.,AI Ethics & Safety Mechanisms,Adversarial-Attack.md
Adversarial Robustness,The ability of a model to resist adversarial attacks.,AI Ethics & Safety Mechanisms,Adversarial-Robustness.md
Algorithmic Accountability,The principle that organizations are responsible for the results of the algorithms they use.,AI Ethics & Safety Mechanisms,Algorithmic-Accountability.md
Alignment Problem,The challenge of ensuring AI systems' goals and behaviors match human values and intentions.,AI Ethics & Safety Mechanisms,Alignment-Problem.md
Bias Mitigation,Techniques used to reduce or eliminate bias in machine learning models.,AI Ethics & Safety Mechanisms,Bias-Mitigation.md
Content Moderation,The practice of monitoring and managing user-generated content.,AI Ethics & Safety Mechanisms,Content-Moderation.md
Data Poisoning,An attack where malicious data is injected into a training set to corrupt the model.,AI Ethics & Safety Mechanisms,Data-Poisoning.md
Deepfake Detection,Technologies designed to identify media that has been manipulated by AI.,AI Ethics & Safety Mechanisms,Deepfake-Detection.md
Fairness Metrics,Quantifiable measures used to assess whether an AI model is biased against certain groups.,AI Ethics & Safety Mechanisms,Fairness-Metrics.md
Human-in-the-Loop (HITL),"A model that requires human interaction for training, tuning, or testing.",AI Ethics & Safety Mechanisms,Human-in-the-Loop--HITL-.md
Indirect Prompt Injection,An attack where the LLM reads a malicious prompt hidden in a webpage or email it is processing.,AI Ethics & Safety Mechanisms,Indirect-Prompt-Injection.md
Jailbreaking,The act of bypassing the safety restrictions placed on an AI model.,AI Ethics & Safety Mechanisms,Jailbreaking.md
Model Cards,"Documents that provide details about a machine learning model's performance, limitations, and intended use.",AI Ethics & Safety Mechanisms,Model-Cards.md
Model Robustness,The ability of a model to maintain performance when faced with unexpected or malicious inputs.,AI Ethics & Safety Mechanisms,Model-Robustness.md
PII Redaction,"Automatically detecting and blurring/removing sensitive info (credit cards, names) from logs and training data.",AI Ethics & Safety Mechanisms,PII-Redaction.md
Privacy-Preserving ML,Techniques like Differential Privacy that allow models to learn without exposing individual data points.,AI Ethics & Safety Mechanisms,Privacy-Preserving-ML.md
Red Teaming,Ethical hacking to test AI systems for vulnerabilities and biases.,AI Ethics & Safety Mechanisms,Red-Teaming.md
Regulatory Sandbox,A framework set up by a regulator that allows FinTech startups and other innovators to conduct live experiments in a controlled environment.,AI Ethics & Safety Mechanisms,Regulatory-Sandbox.md
Safety Guardrails,Controls implemented to prevent AI from generating harmful or inappropriate content.,AI Ethics & Safety Mechanisms,Safety-Guardrails.md
Shadow AI,The unsanctioned use of generative AI tools by employees within an organization.,AI Ethics & Safety Mechanisms,Shadow-AI.md
Transparency,The extent to which the internal workings and decision-making processes of an AI system are visible and understandable.,AI Ethics & Safety Mechanisms,Transparency.md
Watermarking,Embedding hidden signals in AI-generated content to identify its origin.,AI Ethics & Safety Mechanisms,Watermarking.md
Auto-Scaling Group,A collection of EC2 instances that are treated as a logical grouping for the purposes of automatic scaling and management.,AI Infrastructure & Deployment,Auto-Scaling-Group.md
Autoscaling,A method used in cloud computing to dynamically adjust the amount of computational resources.,AI Infrastructure & Deployment,Autoscaling.md
Batch Processing,"Processing a large volume of data all at once, rather than one item at a time (real-time).",AI Infrastructure & Deployment,Batch-Processing.md
Blue-Green Deployment,A release management technique that reduces downtime and risk by running two identical production environments.,AI Infrastructure & Deployment,Blue-Green-Deployment.md
Canary Release,Rolling out a new version of software to a small subset of users before a full rollout.,AI Infrastructure & Deployment,Canary-Release.md
Chaos Engineering,"The discipline of experimenting on a system (e.g., intentionally causing failures) to build confidence in its resilience.",AI Infrastructure & Deployment,Chaos-Engineering.md
Chroma,An open-source embedding database designed to make it easy to build LLM apps.,AI Infrastructure & Deployment,Chroma.md
Cloud Computing,Applications built and run to take full advantage of the cloud computing model.,AI Infrastructure & Deployment,Cloud-Computing.md
Containerization,Packaging software code with all its dependencies so it runs uniformly on any infrastructure.,AI Infrastructure & Deployment,Containerization.md
Cosine Similarity,"A metric used to measure how similar two vectors are, often used to determine the relevance of search results.",AI Infrastructure & Deployment,Cosine-Similarity.md
Docker,A platform used to package applications into containers.,AI Infrastructure & Deployment,Docker.md
Edge AI,Running AI algorithms locally on a hardware device rather than in the cloud.,AI Infrastructure & Deployment,Edge-AI.md
Feature Flags,A technique to turn features on or off in a live system without deploying new code.,AI Infrastructure & Deployment,Feature-Flags.md
FinOps for AI,The practice of managing and optimizing the financial performance of cloud and AI resources.,AI Infrastructure & Deployment,FinOps-for-AI.md
GitOps,A set of practices to manage infrastructure and application configurations using Git as the single source of truth.,AI Infrastructure & Deployment,GitOps.md
GPU Acceleration,Using Graphics Processing Units to speed up compute-intensive AI tasks.,AI Infrastructure & Deployment,GPU-Acceleration.md
HNSW (Hierarchical Navigable Small World),"An algorithm used in vector databases for approximate nearest neighbor search, known for high speed and accuracy.",AI Infrastructure & Deployment,HNSW--Hierarchical-Navigable-Small-World-.md
Hugging Face,"The AI community building the future. Hub for models, datasets, and demos.",AI Infrastructure & Deployment,Hugging-Face.md
High Availability (HA),"Systems aimed at ensuring an agreed level of operational performance, usually uptime, for a higher than normal period.",AI Infrastructure & Deployment,High-Availability--HA-.md
Inference Latency,The time delay between sending data to an AI model and receiving a prediction.,AI Infrastructure & Deployment,Inference-Latency.md
Infrastructure as Code (IaC),Managing and provisioning computer data centers through machine-readable definition files.,AI Infrastructure & Deployment,Infrastructure-as-Code--IaC-.md
KV Cache,A technique to cache Key and Value states in Transformer models to speed up token generation during inference.,AI Infrastructure & Deployment,KV-Cache.md
Latency,The time delay between a user's action and the web application's response.,AI Infrastructure & Deployment,Latency.md
Latency Budget,"The maximum allowable time for a system to respond, allocated across different components.",AI Infrastructure & Deployment,Latency-Budget.md
Load Balancing,Distributing network traffic across multiple servers to ensure no single server performs too much work.,AI Infrastructure & Deployment,Load-Balancing.md
Micro-Frontends,"An architectural style where a front-end app is decomposed into individual, semi-independent 'microapps'.",AI Infrastructure & Deployment,Micro-Frontends.md
Microservices,An architectural style that structures an application as a collection of services.,AI Infrastructure & Deployment,Microservices.md
Milvus,A cloud-native vector database built for scalable similarity search.,AI Infrastructure & Deployment,Milvus.md
MLOps,Practices to streamline the deployment and maintenance of machine learning models.,AI Infrastructure & Deployment,MLOps.md
Model Quantization,Reducing the precision of the numbers used to represent a model's parameters to save memory and speed up inference.,AI Infrastructure & Deployment,Model-Quantization.md
Model Serving,The process of making a trained model available for use in software applications.,AI Infrastructure & Deployment,Model-Serving.md
Monolithic Architecture,"A traditional software architecture where the entire application is built as a single, indivisible unit.",AI Infrastructure & Deployment,Monolithic-Architecture.md
Multi-Tenancy,An architecture where a single instance of software serves multiple customers (tenants).,AI Infrastructure & Deployment,Multi-Tenancy.md
PagedAttention,A memory management algorithm (used in vLLM) that optimizes memory usage for higher throughput.,AI Infrastructure & Deployment,PagedAttention.md
Pinecone,A managed vector database that makes it easy to build high-performance vector search applications.,AI Infrastructure & Deployment,Pinecone.md
Qdrant,A vector similarity search engine and vector database.,AI Infrastructure & Deployment,Qdrant.md
Serverless Computing,"A cloud execution model where the cloud provider runs the server, and dynamically manages the allocation of machine resources.",AI Infrastructure & Deployment,Serverless-Computing.md
Sharding,A method of splitting and storing a single logical dataset in multiple databases.,AI Infrastructure & Deployment,Sharding.md
Speculative Decoding,A method to speed up inference by having a small model draft tokens and a large model verify them.,AI Infrastructure & Deployment,Speculative-Decoding.md
Spot Instances,"Unused cloud compute capacity offered at a steep discount, often used for batch processing or model training.",AI Infrastructure & Deployment,Spot-Instances.md
Technical Debt,"The implied cost of future reworking required when choosing an easy, short-term solution over a better long-term approach.",AI Infrastructure & Deployment,Technical-Debt.md
Telemetry,The automatic recording and transmission of data from remote or inaccessible sources to an IT system.,AI Infrastructure & Deployment,Telemetry.md
Throttling,Intentionally limiting the rate at which a user can access an API or service.,AI Infrastructure & Deployment,Throttling.md
Vector Database,A database designed to store and query vector embeddings for efficient similarity search.,AI Infrastructure & Deployment,Vector-Database.md
Weaviate,An open-source vector database that stores both objects and vectors.,AI Infrastructure & Deployment,Weaviate.md
Attribution Modeling,Determining which marketing channels deserve credit for a conversion.,Analytics & Content Effectiveness,Attribution-Modeling.md
Attribution Window,The period of time between a user's exposure to an ad and the subsequent conversion.,Analytics & Content Effectiveness,Attribution-Window.md
Bounce Rate,The percentage of visitors who enter the site and then leave rather than viewing other pages.,Analytics & Content Effectiveness,Bounce-Rate.md
Click Map,A visualization showing exactly where users are clicking on a page.,Analytics & Content Effectiveness,Click-Map.md
Cohort Analysis,"Grouping users by shared characteristics (e.g., sign-up month) to track behavior over time.",Analytics & Content Effectiveness,Cohort-Analysis.md
Conversion Funnel,The set of steps a visitor needs to take before reaching the conversion.,Analytics & Content Effectiveness,Conversion-Funnel.md
Dwell Time,The length of time a visitor spends on a page before returning to the SERPs.,Analytics & Content Effectiveness,Dwell-Time.md
Engagement Metrics,Data points that measure how much a user interacts with content.,Analytics & Content Effectiveness,Engagement-Metrics.md
Engagement Score,A composite metric quantifying how engaged a user is with the content or product.,Analytics & Content Effectiveness,Engagement-Score.md
Event Tracking,Measuring user interactions with content that can be tracked independently from a web page or a screen load.,Analytics & Content Effectiveness,Event-Tracking.md
Exit Page,The last page a visitor views before leaving the website.,Analytics & Content Effectiveness,Exit-Page.md
Exit Rate,The percentage of pageviews that were the last in the session.,Analytics & Content Effectiveness,Exit-Rate.md
Funnel Visualization,A graphical representation of the steps visitors take towards a conversion.,Analytics & Content Effectiveness,Funnel-Visualization.md
Heatmap,A data visualization technique that shows the magnitude of a phenomenon as color in two dimensions.,Analytics & Content Effectiveness,Heatmap.md
Heatmap Analysis,"Visualizing user behavior (clicks, scrolls) on a page using color gradients.",Analytics & Content Effectiveness,Heatmap-Analysis.md
Multivariate Testing,A technique for testing a hypothesis in which multiple variables are modified.,Analytics & Content Effectiveness,Multivariate-Testing.md
Page Value,A metric estimating the monetary value of a page based on its contribution to conversions.,Analytics & Content Effectiveness,Page-Value.md
Path Analysis,Visualizing the sequence of pages a user visits during their session.,Analytics & Content Effectiveness,Path-Analysis.md
Retention Rate,The percentage of customers who continue paying for a product over a given timeframe.,Analytics & Content Effectiveness,Retention-Rate.md
ROI Analysis,An analysis of the return on investment for a particular campaign or content piece.,Analytics & Content Effectiveness,ROI-Analysis.md
Scroll Depth,A metric measuring how far down a page a user scrolls.,Analytics & Content Effectiveness,Scroll-Depth.md
Scroll Map,A visual representation of how far down the page users are scrolling.,Analytics & Content Effectiveness,Scroll-Map.md
Session Recording,Recording real user actions on a website to understand behavior and UX issues.,Analytics & Content Effectiveness,Session-Recording.md
User Path,The sequence of pages a user visits during a session.,Analytics & Content Effectiveness,User-Path.md
Aspect-Based Sentiment Analysis,"Analyzing sentiment related to specific aspects of a product (e.g., battery life vs. screen).",Application & Use-Cases,Aspect-Based-Sentiment-Analysis.md
Code Generation,"Using AI to write, debug, or explain programming code.",Application & Use-Cases,Code-Generation.md
Code Interpreter,An AI feature that can write and execute code (usually Python) to perform data analysis or math.,Application & Use-Cases,Code-Interpreter.md
Content Summarization,AI capability to condense long documents into short summaries.,Application & Use-Cases,Content-Summarization.md
Demand Forecasting,Using historical data and AI to predict future demand for products or services.,Application & Use-Cases,Demand-Forecasting.md
EdTech Personalized Learning,AI systems that adapt learning materials to the student's pace and understanding.,Application & Use-Cases,EdTech-Personalized-Learning.md
FinTech Fraud Detection,Using AI to identify suspicious financial transactions in real-time.,Application & Use-Cases,FinTech-Fraud-Detection.md
Financial Risk Management,AI models predicting loan defaults or market volatility.,Application & Use-Cases,Financial-Risk-Management.md
Fraud Detection,Systems that identify suspicious patterns in transaction data to prevent fraud.,Application & Use-Cases,Fraud-Detection.md
HealthTech Diagnosis,AI tools assisting doctors in analyzing medical images or symptoms.,Application & Use-Cases,HealthTech-Diagnosis.md
HR Talent Acquisition,Using AI to screen resumes and match candidates to job descriptions.,Application & Use-Cases,HR-Talent-Acquisition.md
